Height	B.Reward	Coin Emitted	Emission(%)	Days	Years
0000000	160000000.00000000	160000000.0	18.00	0000	0.0
0043830	340.00000000	173149040.0	19.48	0121	0.33
0087660	400.00000000	188051300.0	21.16	0243	0.67
0131490	470.00000000	205583370.0	23.13	0365	1.0
0175320	540.00000000	226183540.0	25.45	0487	1.33
0219150	630.00000000	249851830.0	28.11	0608	1.66
0262980	730.00000000	277464830.0	31.21	0730	2.0
0306810	840.00000000	309460840.0	34.81	0852	2.33
0350640	960.00000000	346278160.0	38.96	0974	2.67
0394470	1090.00000000	388355090.0	43.69	1095	3.0
0438300	1230.00000000	436129930.0	49.06	1217	3.33
0482130	1390.00000000	490040990.0	55.13	1339	3.67
0525960	1550.00000000	550964850.0	61.98	1461	4.0
0569790	510.00000000	618900310.0	69.63	1582	4.33
0613620	470.00000000	641253570.0	72.14	1704	4.67
0657450	430.00000000	661853630.0	74.46	1826	5.0
0701280	390.00000000	680700490.0	76.58	1948	5.33
0745110	360.00000000	697794160.0	78.50	2069	5.66
0788940	330.00000000	713572930.0	80.28	2191	6.0
0832770	300.00000000	728036800.0	81.90	2313	6.33
0876600	280.00000000	741185780.0	83.38	2435	6.67
0920430	250.00000000	753458150.0	84.76	2556	7.0
0964260	230.00000000	764415630.0	86.00	2678	7.33
1008090	210.00000000	774496510.0	87.13	2800	7.67
1051920	200.00000000	783700800.0	88.17	2922	8.0
1095750	180.00000000	792466780.0	89.15	3043	8.33
1139580	160.00000000	800356160.0	90.04	3165	8.67
1183410	150.00000000	807368950.0	90.83	3287	9.0
1227240	140.00000000	813943440.0	91.57	3409	9.33
1271070	130.00000000	820079630.0	92.26	3530	9.66
1314900	120.00000000	825777520.0	92.90	3652	10.0
1358730	110.00000000	831037110.0	93.49	3774	10.33
1402560	100.00000000	835858400.0	94.03	3896	10.67
1446390	90.00000000	840241390.0	94.53	4017	11.0
1490220	80.00000000	844186080.0	94.97	4139	11.33
1534050	70.00000000	847692470.0	95.37	4261	11.67
1577880	70.00000000	850760570.0	95.71	4383	12.0
